YEAR,MONTH,DAY,SCHEDULED_DEPARTURE,DISTANCE,HOUR
2015,1,10,0,0,13
2015,1,10,0,0,14
2015,1,10,0,0,16
2015,1,10,0,0,19
2015,1,10,0,0,20
2015,1,10,0,0,21
2015,1,10,0,0,22
2015,1,10,0,0,23
2015,1,11,0,0,0
2015,1,11,0,0,1
2015,1,11,0,0,2
2015,1,11,0,0,3
2015,1,11,0,0,4
2015,1,11,0,0,5
2015,1,11,0,0,6
2015,1,11,0,0,7
2015,1,11,0,0,8
2015,1,11,0,0,11
2015,1,11,0,0,12
2015,1,11,0,0,13
2015,1,11,0,0,14
2015,1,11,0,0,16
2015,1,11,0,0,18
2015,1,11,0,0,20
2015,1,11,0,0,21
2015,1,11,0,0,22
2015,1,11,0,0,23
2015,1,12,0,0,0
2015,1,12,0,0,1
2015,1,12,0,0,2
2015,1,12,0,0,3
2015,1,12,0,0,4
2015,1,12,0,0,5
2015,1,12,0,0,6
2015,1,12,0,0,7
2015,1,12,0,0,8
2015,1,12,0,0,10
2015,1,12,0,0,12
2015,1,12,0,0,13
2015,1,12,0,0,15
2015,1,12,0,0,16
2015,1,12,0,0,19
2015,1,12,0,0,20
2015,1,12,0,0,21
2015,1,12,0,0,22
2015,1,12,0,0,23
2015,1,13,0,0,0
2015,1,13,0,0,1
2015,1,13,0,0,2
2015,1,13,0,0,3
2015,1,13,0,0,4
2015,1,13,0,0,5
2015,1,13,0,0,6
2015,1,13,0,0,7
2015,1,13,0,0,8
2015,1,13,0,0,10
2015,1,13,0,0,12
2015,1,13,0,0,13
2015,1,13,0,0,15
2015,1,13,0,0,16
2015,1,13,0,0,19
2015,1,13,0,0,20
2015,1,13,0,0,21
2015,1,13,0,0,22
2015,1,13,0,0,23
2015,1,14,0,0,0
2015,1,14,0,0,1
2015,1,14,0,0,2
2015,1,14,0,0,3
2015,1,14,0,0,4
2015,1,14,0,0,5
2015,1,14,0,0,6
2015,1,14,0,0,7
2015,1,14,0,0,8
2015,1,14,0,0,10
2015,1,14,0,0,12
2015,1,14,0,0,13
2015,1,14,0,0,15
2015,1,14,0,0,16
2015,1,14,0,0,19
2015,1,14,0,0,20
2015,1,14,0,0,21
2015,1,14,0,0,22
2015,1,14,0,0,23
2015,1,15,0,0,0
2015,1,15,0,0,1
2015,1,15,0,0,2
2015,1,15,0,0,3
2015,1,15,0,0,4
2015,1,15,0,0,5
2015,1,15,0,0,6
2015,1,15,0,0,7
2015,1,15,0,0,8
2015,1,15,0,0,10
2015,1,15,0,0,12
2015,1,15,0,0,13
2015,1,15,0,0,15
2015,1,15,0,0,16
2015,1,15,0,0,19
2015,1,15,0,0,20
2015,1,15,0,0,21
2015,1,15,0,0,22
2015,1,15,0,0,23
2015,1,16,0,0,0
2015,1,16,0,0,1
2015,1,16,0,0,2
2015,1,16,0,0,3
2015,1,16,0,0,4
2015,1,16,0,0,5
2015,1,16,0,0,6
2015,1,16,0,0,7
2015,1,16,0,0,8
2015,1,16,0,0,10
2015,1,16,0,0,12
2015,1,16,0,0,13
2015,1,16,0,0,15
2015,1,16,0,0,16
2015,1,16,0,0,19
2015,1,16,0,0,20
